,Parks and Recreation Facilities,Facility Type,geometry
140,"Brookfield   
",Tennis Court,POINT (-122.1884784309181 37.73661414721092)
141,Discovery Center East,Discovery Center,POINT (-122.205135844116 37.78155520226608)
142,Avenue Terrance Park,Park,POINT (-122.1919454523141 37.80032470133863)
143,"Raimondi, ""Ernie Raimondi""",Athletic Field,POINT (-122.2730199996731 37.80505999961946)
144,deFremery Pool,Pools,POINT (-122.2876666267449 37.81309442583358)
145,McClymonds Mini Park,Park,POINT (-122.2807692966412 37.81764562934065)
146,Dimond,Recreation Center,POINT (-122.2144166908494 37.80708298407534)
147,Mandana Plaza Park,Park,POINT (-122.2730199996731 37.80505999961946)
148,Peralta Oaks Park,Park,POINT (-122.2730199996731 37.80505999961946)
149,Bushrod Park,Park,POINT (-122.2634707076902 37.84481782053176)
150,Mosswood Dog Play Area,Dog Play Area,POINT (-122.2619099101306 37.82388635030956)
151,Cresent Park,Park,POINT (-122.2730199996731 37.80505999961946)
152,Franklin,Recreation Center,POINT (-122.2486155984817 37.79269463350681)
153,Carter Gilmore,Athletic Field,POINT (-122.1932885534436 37.76201573422819)
154,deFremery,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
155,Wood Street Pocket Park,Park,POINT (-122.2583728407502 37.79811632607474)
156,Rainbow Park,Park,POINT (-122.2002974915983 37.76549331082276)
157,King Estates,Park,POINT (-122.152568173839 37.76462581458471)
158,Garber [John] Park,Park,POINT (-122.2730199996731 37.80505999961946)
159,Lafayette Square Park,Park,POINT (-122.2769330569615 37.80392583261953)
160,Dimond,Tennis Court,POINT (-122.2730199996731 37.80505999961946)
161,Glen Echo Park,Park,POINT (-122.2730199996731 37.80505999961946)
162,Franklin Park,Park,POINT (-122.2486155984817 37.79269463350681)
163,Allendale,Recreation Center,POINT (-122.2029235119239 37.78991889713853)
164,Marj Saunders Park ,Park,POINT (-122.1987653086909 37.82100885002856)
165,Madison Square Park,Park,POINT (-122.2676948794654 37.79791775934754)
166,Coliseum Gardens Park,Park,POINT (-122.1994942906337 37.75767183188906)
167,"Jones ""Pinto"" Field",Athletic Field,POINT (-122.1751344612185 37.79609723947982)
168,Allendale Park,Community Gardens,POINT (-122.2029235119239 37.78991889713853)
169,Pinto Park,Park,POINT (-122.1751344612185 37.79609723947982)
170,Arroyo Viejo Recreation Center,ADA Inclusion Center,POINT (-122.1761956612131 37.76263346676961)
171,Stone Hurst,Athletic Field,POINT (-122.173569597191 37.73751689383553)
172,Sequoia Lodge,Rental Facility,POINT (-122.2010709085436 37.81439844277611)
173,Holly Mini Park,Park,POINT (-122.1690784246352 37.74462107533759)
174,Durant Mini Park,Park,POINT (-122.2730199996731 37.80505999961946)
175,Jack London Aquatic Center,Boating Center,POINT (-122.2633899598375 37.79083521131776)
176,Raimondi Park ,Park,POINT (-122.2955429383427 37.81599576697341)
177,Temescal,Community Gardens,POINT (-122.2719015115712 37.83577532741253)
178,Caldecott Field/North Oakland Regional Sports Center,Park,POINT (-122.2223949282302 37.85048420101057)
179,Redwood Heights Park,Park,POINT (-122.1854229963365 37.79796608109796)
180,Carter Gilmore #2 SB,Athletic Field,POINT (-122.2080189577576 37.75394246701459)
181,Lake Merritt Boating Center,Boating Center,POINT (-122.2566247980454 37.80676133380701)
182,Sequoia Lodge Park,Park,POINT (-122.2010709085436 37.81439844277611)
183,East Oakland Sports Center,Recreation Center,POINT (-122.1895039462169 37.73806024377812)
184,East Oakland Sports Center,Pools,POINT (-122.1895039462169 37.73806024377812)
185,Montclair,Tennis Court,POINT (-122.2124344329921 37.828526809031)
186,Henery J. Kaiser Memorial Park (Remember Them: Champions For Humanity Monument),Park,POINT (-122.2730199996731 37.80505999961946)
187,Live Oak Pool,Pools,POINT (-122.2358836642978 37.80505448689166)
188,Sobrante Park,Park,POINT (-122.177418739173 37.72832433135181)
189,Chabot Park,Park,POINT (-122.2412883920689 37.85070089659142)
190,Dunsmuir Hellman Historic Estate,Rental Facility,POINT (-122.1446546154738 37.74383528856998)
191,Tomas Melero-Smith,Park,POINT (-122.2730199996731 37.80505999961946)
192,Stonehurst Park,Park,POINT (-122.173569597191 37.73751689383553)
193,Josie de la Cruz Park,Park,POINT (-122.2245093885261 37.78041404360486)
194,Garfield Park,Park,POINT (-122.2352867776567 37.78571932591725)
195,Rockridge Park,Park,POINT (-122.2440526791912 37.84517160169325)
196,Mosswood,Tennis Court,POINT (-122.2619099101306 37.82388635030956)
197,Bishop Floyd L. Begin Plaza,Park,POINT (-122.2740386376971 37.81255105155954)
198,Redwood Heights,Recreation Center,POINT (-122.1854229963365 37.79796608109796)
199,Concordia,Tennis Court,POINT (-122.2730199996731 37.80505999961946)
200,Officer Willie Wilkins,Park,POINT (-122.1753388010049 37.7431962050396)
201,Jefferson Square,Park,POINT (-122.2780429148968 37.80033141259845)
202,Curt Flood,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
203,Sheffield Village Park,Park,POINT (-122.135060671593 37.73513219911359)
204,Splash Pad Park,Park,POINT (-122.2730199996731 37.80505999961946)
205,Gateway Gardens Park & Pavillion,Park,POINT (-122.2730199996731 37.80505999961946)
206,Linden Park,Park,POINT (-122.2757647262311 37.83276870061304)
207,Carter-Gilmore/Greenman Field,Park,POINT (-122.2730199996731 37.80505999961946)
208,Temescal Pool,Pools,POINT (-122.2575648326202 37.83329515382854)
209,Temescal Creek Park,Park,POINT (-122.2730199996731 37.80505999961946)
210,Saint Andrews Plaza,Park,POINT (-122.2730199996731 37.80505999961946)
211,Willow Mini Park,Park,POINT (-122.2966598470379 37.81243792075225)
212,Shepherd Canyon Park,Park,POINT (-122.2023836571254 37.82471537952171)
213,Kennedy Tract Park,Park,POINT (-122.2730199996731 37.80505999961946)
214,Golden Gate ,Community Gardens,POINT (-122.2730199996731 37.80505999961946)
215,Verdese Carter Park,Community Gardens,POINT (-122.1630116002636 37.74977316175062)
216,Carter Gilmore #1 SB,Athletic Field,POINT (-122.2080189577576 37.75394246701459)
217,Mosswood Park,Park,POINT (-122.2619099101306 37.82388635030956)
218,Rockridge-Temescal Greenbelt (FROG Park),Park,POINT (-122.2730199996731 37.80505999961946)
219,Joaquin Miller Park,Park,POINT (-122.1926909098052 37.81085998742046)
220,San Antonio,Athletic Field,POINT (-122.239886076883 37.79098163292826)
221,deFremery,Recreation Center,POINT (-122.2855350054664 37.81141714212085)
222,Pine Knoll Park,Park,POINT (-122.2730199996731 37.80505999961946)
223,Burckhalter Park,Park,POINT (-122.2049427976541 37.78179169684871)
224,Helen McGregor Plaza Park,Park,POINT (-122.2730199996731 37.80505999961946)
225,Ayala Park,Park,POINT (-122.2592570438393 37.84263715449612)
226,Tassafaronga Park,Park,POINT (-122.2730199996731 37.80505999961946)
227,Fremont Pool,Pools,POINT (-122.2101649285588 37.77398314054889)
228,Redondo Park,Park,POINT (-122.2610736743385 37.83786175452053)
229,Ira Jenkins,Recreation Center,POINT (-122.1893708015905 37.73802473854441)
230,Morcom Rose Garden,Rental Facility,POINT (-122.2460520236996 37.81930232044508)
231,Discovery Center West,Discovery Center,POINT (-122.2896312390485 37.80653154829123)
232,Brookdale,Recreation Center,POINT (-122.2049427976541 37.78179169684871)
233,Lowell Park,Park,POINT (-122.2730199996731 37.80505999961946)
234,Verdese Carter Park,Park,POINT (-122.1633533426347 37.74854109057048)
235,Frank Ogawa Firescape Garden,Park,POINT (-122.2223949282302 37.85048420101057)
236,Montclair Golf Course,Golf Course,POINT (-122.2036172558693 37.8166930941945)
237,Firestorm Memorial Garden,Park,POINT (-122.2278336497169 37.85560109156938)
238,Channel Park,Park,POINT (-122.2730199996731 37.80505999961946)
239,Mosswood,Recreation Center,POINT (-122.2619099101306 37.82388635030956)
240,Cesar Chavez Park,Park,POINT (-122.2129149796694 37.77565564975384)
